row_id,track,comparison_axis,comparison_group,method_id,task_scope,result_status,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,record_or_source_count,parameter_count,common_canonical_split,information_match_status,native_track_status,headline_horizontal_comparison_eligible,scientific_success_established,development_test_accessed,new_final_evaluation_accessed,guided_executed,primary_limitation,evidence_locator
B-01,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE269595|3UTR|PROXIMAL_POLYA_SITE_USAGE_LOG2_ODDS,APARENT,GSE269595|3UTR|PROXIMAL_POLYA_SITE_USAGE_LOG2_ODDS,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.7343148901021292,mae,1.2895561683404064,2628,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,OFFICIAL_NOTEBOOK_EXAMPLE_PARITY_ONLY,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/aparent_v1/validation_evaluation.json
B-02,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,FramePool,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.2956108288221467,mae,0.3808403499524595,730,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/external_lr1e3_wd1e4_replay_gpu5_v1/framepool/validation_evaluation.json
B-03,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,Optimus5Prime,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.31317602731628674,mae,0.38513114300155904,730,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/external_lr1e3_wd1e4_replay_gpu5_v1/optimus5prime/validation_evaluation.json
B-04,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,RNA-FM_MULTI_MOLECULE_BOTTLENECK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.12191892642433695,mae,0.4508232065206762,730,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,UNOFFICIAL_MULTIMOLECULE_CONVERSION_ADAPTER,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/rnafm_bottleneck_adapter_grid_v1/summary.json
B-05,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,RNA-FM_MULTI_MOLECULE_CONVERSION,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.13693731732817227,mae,0.47297901675762727,730,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,UNOFFICIAL_MULTIMOLECULE_CONVERSION_GPU_LOAD_SMOKE_ONLY,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/external_lr1e3_wd1e4_replay_gpu5_v1/multimolecule_rnafm_frozen_linear_probe/validation_evaluation.json
B-06,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,UTR-LM,GSE114002|5UTR|MEAN_RIBOSOME_LOAD,IMPLEMENTED_AND_COMPLETED_DEVELOPMENT_VALIDATION_GPU,task_macro_spearman,0.1107267878538859,mae,0.4483427366649748,730,,true,SAME_CANONICAL_SOURCE_CANDIDATE_AND_OUTCOME_NO_EXTRA_LABELS,OFFICIAL_STRICT_CHECKPOINT_GPU_SMOKE_ONLY,true,false,false,false,false,Development-only; native parity and independent external-transfer claims remain unavailable.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/utrlm_lr1e3_wd1e4_replay_gpu5_v1/validation_evaluation.json
B-07,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,NOT_EXECUTED_OR_TASK_MISMATCH,APARENT-Perturb,NOT_AVAILABLE,LITERATURE_ONLY_TASK_MISMATCH,,,,,,,false,NOT_EXECUTED_ON_COMMON_CANONICAL_TASK,LITERATURE_ONLY_TASK_MISMATCH,false,false,false,false,false,The available Route 2 APA task does not freeze a matching perturbation and biological-context interface for this native-context reference.,configs/route_a_v3_route2_baseline_inventory_v1.json
B-08,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,NOT_EXECUTED_OR_TASK_MISMATCH,Orthrus,NOT_AVAILABLE,LITERATURE_ONLY_NOT_EXECUTED,,,,,,,false,NOT_EXECUTED_ON_COMMON_CANONICAL_TASK,LITERATURE_ONLY_NOT_EXECUTED,false,false,false,false,false,No existing project checkpoint was shown to expose the same frozen Route 2 source-relative task interface.,configs/route_a_v3_route2_baseline_inventory_v1.json
B-09,COMMON_SOURCE_RELATIVE_TASK,EXTERNAL_COMMON_TASK_ADAPTER,NOT_EXECUTED_OR_TASK_MISMATCH,RiNALMo,NOT_AVAILABLE,LITERATURE_ONLY_NOT_EXECUTED,,,,,,,false,NOT_EXECUTED_ON_COMMON_CANONICAL_TASK,LITERATURE_ONLY_NOT_EXECUTED,false,false,false,false,false,No Route 2 common-task adapter and frozen official checkpoint were prepared within the current execution budget.,configs/route_a_v3_route2_baseline_inventory_v1.json
B-10,COMMON_SOURCE_RELATIVE_TASK,NINE_TASK_PRIMARY_CONTROL_GATE,NINE_TASK_MULTI_STUDY_DEVELOPMENT_VALIDATION,mRNABERT_CRITIC_V2_FULL,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,CRITIC_V2_CONTROLS_DO_NOT_SUPPORT_THREE_FROZEN_SEEDS,task_macro_spearman,0.11637066318689378,task_macro_standardized_mae,2.222825851326906,,,true,TRANSFERABLE_CONTEXT_MATCHED_CONTROL_SCREEN,NOT_A_NATIVE_RESULT,true,false,false,false,false,Terminal negative result: the full arm did not beat the strongest same-information baseline.,audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
B-11,COMMON_SOURCE_RELATIVE_TASK,NINE_TASK_PRIMARY_CONTROL_GATE,NINE_TASK_MULTI_STUDY_DEVELOPMENT_VALIDATION,method_repair_global_scaled_seed20260821,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_TERMINAL_SAME_INFORMATION_BASELINE,task_macro_spearman,0.13171439492559175,task_macro_standardized_mae,1.806657840788394,,,true,TRANSFERABLE_CONTEXT_MATCHED_CONTROL_SCREEN,NOT_A_NATIVE_RESULT,true,false,false,false,false,"Strongest baseline for the Critic V2 frozen gate, not a cross-task winner for external adapter groups.",audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
B-12,COMMON_SOURCE_RELATIVE_TASK,LEGACY_OBSERVED_REFERENCE,NINE_TASK_MULTI_STUDY_DEVELOPMENT_VALIDATION,delta_diagnostic_0_08m_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,LEGACY_BEST_OBSERVED_VALIDATION_REFERENCE_FROZEN,task_macro_spearman,0.15328703375929223,task_macro_standardized_mae,1.822072723037273,18293,80099,true,FULL_CONTEXT_NOT_SAME_INFORMATION_AS_CRITIC_V2,NOT_A_NATIVE_RESULT,false,false,false,false,false,"The strongest legacy run uses FULL_CONTEXT, while the method-repair screen uses TRANSFERABLE_CONTEXT with study identity masked. It is an observed internal hurdle, not a same-information causal ablation.",audits/route_a_v3_route2_legacy_baseline_task_macro_replay_v1.json
C-01,ARCH_CONTROLLED,ABSOLUTE_VS_SOURCE_RELATIVE;CANDIDATE_ONLY_VS_SOURCE_PLUS_CANDIDATE,PREDICTION::NINE_TASK_MACRO,candidate_only_ridge,NINE_TASK_MACRO,EXECUTED_DEVELOPMENT_VALIDATION,task_macro_spearman,0.02275764507287449,source_macro_mae_raw_heterogeneous_scale,177.35157571032065,18293,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Development validation only.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/classical_v1/candidate_only_ridge/validation_evaluation.json
C-02,ARCH_CONTROLLED,ABSOLUTE_VS_SOURCE_RELATIVE,PREDICTION::NINE_TASK_MACRO,absolute_candidate_difference_ridge,NINE_TASK_MACRO,EXECUTED_DEVELOPMENT_VALIDATION,task_macro_spearman,-0.03315841346225332,source_macro_mae_raw_heterogeneous_scale,45.14187010643951,18293,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Development validation only.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/classical_v1/absolute_candidate_difference_ridge/validation_evaluation.json
C-03,ARCH_CONTROLLED,NO_CONTEXT_VS_CONTEXT_AWARE,PREDICTION::NINE_TASK_MACRO,delta_main_2m_sequence_and_region_only_lr3e4,NINE_TASK_MACRO,EXECUTED_DEVELOPMENT_VALIDATION,task_macro_spearman,0.13333163818624325,source_macro_mae_raw_heterogeneous_scale,24.045169350806347,18293,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Development validation only.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_sequence_and_region_only_lr3e4_v1/validation_evaluation.json
C-04,ARCH_CONTROLLED,REGION_SUBSET;SINGLE_VS_MULTI_STUDY_CONTEXT,PREDICTION::REGION_SUBSET_POOLED,delta_main_2m_5utr_multistudy_lr3e4,REGION_SUBSET_POOLED,EXECUTED_DEVELOPMENT_VALIDATION,pooled_spearman,0.041536690920337065,mae_raw_subset_scale,307.8708748163799,1226,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Subset-pooled metric has a different task/record scope and cannot be ranked directly against the nine-task macro rows.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_5utr_multistudy_lr3e4_v1/training_summary.json
C-05,ARCH_CONTROLLED,REGION_SUBSET;SINGLE_VS_MULTI_STUDY_CONTEXT,PREDICTION::REGION_SUBSET_POOLED,delta_main_2m_3utr_multistudy_lr3e4,REGION_SUBSET_POOLED,EXECUTED_DEVELOPMENT_VALIDATION,pooled_spearman,0.15586902172622497,mae_raw_subset_scale,1.6431550710334315,17067,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Subset-pooled metric has a different task/record scope and cannot be ranked directly against the nine-task macro rows.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_3utr_multistudy_lr3e4_v1/training_summary.json
C-06,ARCH_CONTROLLED,A1_ONLY_VS_A1_PLUS_A2,PREDICTION::A1_ONLY_SUBSET_POOLED,delta_main_2m_a1_only_multistudy_lr3e4,A1_ONLY_SUBSET_POOLED,EXECUTED_DEVELOPMENT_VALIDATION,pooled_spearman,-0.005644049923808609,mae_raw_subset_scale,25.498433262216366,15665,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,"Aligned A1 comparison inputs are frozen, but the aligned result was not materialized; direct A1-only versus A1+A2 ranking is prohibited.",/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_a1_only_multistudy_lr3e4_v1/training_summary.json
C-07,ARCH_CONTROLLED,SINGLE_STUDY_VS_MULTI_STUDY,PREDICTION::SINGLE_STUDY_POOLED,delta_main_2m_gse200304_only_lr3e4,SINGLE_STUDY_POOLED,EXECUTED_DEVELOPMENT_VALIDATION,pooled_spearman,0.01289414029728175,mae_raw_subset_scale,0.16821105189344066,1614,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Subset-pooled metric has a different task/record scope and cannot be ranked directly against the nine-task macro rows.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_gse200304_only_lr3e4_v1/training_summary.json
C-08,ARCH_CONTROLLED,NO_CONTEXT_VS_CONTEXT_AWARE;STUDY_CALIBRATION,PREDICTION::NINE_TASK_MACRO,delta_main_2m_study_scale_calibration_lr3e4,NINE_TASK_MACRO,EXECUTED_DEVELOPMENT_VALIDATION,task_macro_spearman,0.117115973861744,source_macro_mae_raw_heterogeneous_scale,24.003153620499116,18293,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Development validation only.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_study_scale_calibration_lr3e4_v1/validation_evaluation.json
C-09,ARCH_CONTROLLED,STUDY_BALANCE_ABLATION,PREDICTION::NINE_TASK_MACRO,delta_main_2m_without_study_balance_lr3e4,NINE_TASK_MACRO,EXECUTED_DEVELOPMENT_VALIDATION,task_macro_spearman,0.1181609702369466,source_macro_mae_raw_heterogeneous_scale,23.992052002802062,18293,,true,FROZEN_SUBSET_OR_COMMON_SPLIT_DECLARED_PER_ROW,NOT_APPLICABLE,false,false,false,false,false,Development validation only.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_ablation/delta_main_2m_without_study_balance_lr3e4_v1/validation_evaluation.json
C-10,ARCH_CONTROLLED,PARAMETER_SCALE;SCRATCH_ARCHITECTURE,PREDICTION::NINE_TASK_HPO_SELECTION,delta_diagnostic_0_08m_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.15328703375929226,source_macro_mae_raw_heterogeneous_scale,24.001712019448178,,80099,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/delta_diagnostic_0_08m_lr3e4_v1/validation_evaluation.json
C-11,ARCH_CONTROLLED,ABSOLUTE_VS_SOURCE_RELATIVE;PARAMETER_SCALE;CONTEXT_AWARE,PREDICTION::NINE_TASK_HPO_SELECTION,delta_main_2m_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.11204750074456908,source_macro_mae_raw_heterogeneous_scale,24.00304841587443,,2001070,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/delta_main_2m_lr3e4_v1/validation_evaluation.json
C-12,ARCH_CONTROLLED,CANDIDATE_ONLY_VS_SOURCE_PLUS_CANDIDATE,PREDICTION::NINE_TASK_HPO_SELECTION,neural_main_2m_candidate_cnn_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.07863844195385129,source_macro_mae_raw_heterogeneous_scale,24.01637964781148,,2021064,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/neural_main_2m_candidate_cnn_lr3e4_v1/validation_evaluation.json
C-13,ARCH_CONTROLLED,CANDIDATE_ONLY_VS_SOURCE_PLUS_CANDIDATE;PAIR_ARCHITECTURE,PREDICTION::NINE_TASK_HPO_SELECTION,neural_main_2m_full_pair_cnn_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.11618839097201311,source_macro_mae_raw_heterogeneous_scale,24.00146433524951,,2032852,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/neural_main_2m_full_pair_cnn_lr3e4_v1/validation_evaluation.json
C-14,ARCH_CONTROLLED,PAIR_ARCHITECTURE,PREDICTION::NINE_TASK_HPO_SELECTION,neural_main_2m_siamese_cnn_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.09848663802296456,source_macro_mae_raw_heterogeneous_scale,23.982174696940568,,2037109,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/neural_main_2m_siamese_cnn_lr3e4_v1/validation_evaluation.json
C-15,ARCH_CONTROLLED,PAIR_ARCHITECTURE,PREDICTION::NINE_TASK_HPO_SELECTION,neural_main_2m_small_transformer_lr3e4,NINE_TASK_MULTI_STUDY_SOURCE_RELATIVE,EXECUTED_DEVELOPMENT_VALIDATION_HPO_SELECTED,task_macro_spearman,0.08786740946276624,source_macro_mae_raw_heterogeneous_scale,23.994456399482363,,1996528,true,FULL_CONTEXT_COMMON_SPLIT;PARAMETER_BAND_DECLARED,NOT_APPLICABLE,false,false,false,false,false,Architecture/parameter-band Development result; causal attribution is limited to rows with matched information and parameter band.,/mnt/cunyuliu/mrna_xeditflow_routea_v3/route2/runs/development_hpo/neural_main_2m_small_transformer_lr3e4_v1/validation_evaluation.json
C-16,ARCH_CONTROLLED,CANDIDATE_SIGNAL_CONTROL,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_full,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.11637066318689378,task_macro_standardized_mae,2.222825851326906,,,true,MATCHED_BUDGET_WITH_ARM_SPECIFIC_INFORMATION_REMOVAL,NOT_APPLICABLE,false,false,false,false,false,Matched control-screen result; current status does not support confirmation seeds or guidance.,audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
C-17,ARCH_CONTROLLED,CANDIDATE_SIGNAL_CONTROL,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_candidate_permutation,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.08018546242383856,task_macro_standardized_mae,2.3963102262002614,,,true,MATCHED_BUDGET_WITH_ARM_SPECIFIC_INFORMATION_REMOVAL,NOT_APPLICABLE,false,false,false,false,false,Matched control-screen result; current status does not support confirmation seeds or guidance.,audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
C-18,ARCH_CONTROLLED,CANDIDATE_SIGNAL_CONTROL,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_source_only,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.017976235482461158,task_macro_standardized_mae,2.0924846890488147,,,true,MATCHED_BUDGET_WITH_ARM_SPECIFIC_INFORMATION_REMOVAL,NOT_APPLICABLE,false,false,false,false,false,Matched control-screen result; current status does not support confirmation seeds or guidance.,audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
